package_name,country_code,total_downloads
boto3,US,61793559
botocore,US,52985637
urllib3,US,46488244
requests,US,42941261
certifi,US,40889049
typing-extensions,US,40773492
aiobotocore,US,40374318
charset-normalizer,US,39435731
idna,US,37576349
grpcio-status,US,36309096
setuptools,US,35810728
packaging,US,35552177
s3transfer,US,30658275
python-dateutil,US,30608619
six,US,27804951
s3fs,US,27528246
numpy,US,26795525
pyyaml,US,25306854
fsspec,US,24238282
cryptography,US,23507368
cffi,US,22744054
pycparser,US,22195806
pandas,US,21572550
attrs,US,21093197
click,US,20344664
pip,US,20143949
pydantic,US,19930685
platformdirs,US,19408725
protobuf,US,18828649
rsa,US,18133991
importlib-metadata,US,17987391
pytz,US,17858339
jmespath,US,17586848
markupsafe,US,17562574
h11,US,17015844
zipp,US,16916314
google-auth,US,16875919
jinja2,US,16772517
anyio,US,16711737
awscli,US,16528570
pluggy,US,16489447
sniffio,US,16475128
pydantic-core,US,16184043
filelock,US,15972161
pygments,US,15751606
pyasn1,US,15648921
wheel,US,15194720
colorama,US,15117822
cachetools,US,14929574
annotated-types,US,14421510
google-api-core,US,14251914
httpx,US,14072982
httpcore,US,13857980
jsonschema,US,13741944
virtualenv,US,13654337
tzdata,US,13559107
pyjwt,US,12957584
pytest,US,12949308
aiohttp,US,12809443
wrapt,US,12808695
multidict,US,12567048
googleapis-common-protos,US,12385893
pyasn1-modules,US,12366645
yarl,US,12260081
iniconfig,US,11927721
tomli,US,11757092
scipy,US,11581802
opentelemetry-semantic-conventions,US,11485129
frozenlist,US,11483754
aiosignal,US,11467864
grpcio-tools,US,11445807
pyarrow,US,11428049
typing-inspection,US,11412986
pathspec,US,11349145
python-dotenv,US,11316840
rich,US,11200513
tqdm,US,11075868
rpds-py,US,11059494
psutil,US,10990920
jsonschema-specifications,US,10972141
propcache,US,10942610
greenlet,US,10879544
markdown-it-py,US,10804845
sqlalchemy,US,10793135
tomlkit,US,10791616
requests-oauthlib,US,10574341
distlib,US,10481072
pyparsing,US,10443529
pillow,US,10432420
referencing,US,10426038
grpcio,US,10360901
mdurl,US,10282620
exceptiongroup,US,10186595
yandexcloud,US,10054533
aiohappyeyeballs,US,10014804
trove-classifiers,US,9817688
soupsieve,US,9677455
docutils,US,9675487
beautifulsoup4,US,9660369
snowflake-connector-python,US,9638106
requests-toolbelt,US,9591779
opentelemetry-sdk,US,9566212
opentelemetry-proto,US,9543907
oauthlib,US,9517229
lxml,US,9438960
more-itertools,US,9276913
opentelemetry-exporter-otlp-proto-http,US,8972988
pyopenssl,US,8633133
werkzeug,US,8506463
opentelemetry-api,US,8283063
openpyxl,US,8205270
starlette,US,8156441
et-xmlfile,US,8101184
isodate,US,8097317
msgpack,US,8071617
mypy-extensions,US,8055908
opentelemetry-instrumentation,US,8042546
opentelemetry-exporter-otlp-proto-common,US,8028703
decorator,US,7923290
shellingham,US,7880008
uvicorn,US,7866599
gitpython,US,7691491
regex,US,7656592
google-cloud-storage,US,7543332
scikit-learn,US,7471273
tenacity,US,7435538
proto-plus,US,7375439
smmap,US,7371240
huggingface-hub,US,7341229
gitdb,US,7297214
opentelemetry-util-http,US,7293949
async-timeout,US,7258208
flask,US,7257048
asn1crypto,US,7194406
fastapi,US,7170740
sortedcontainers,US,7154554
websocket-client,US,7013664
opentelemetry-instrumentation-requests,US,6959525
coverage,US,6845906
typedload,SE,6783162
pynacl,US,6748396
threadpoolctl,US,6729449
poetry-core,US,6671870
boto3,IN,6617179
ptyprocess,US,6549849
deprecated,US,6544649
pexpect,US,6539199
networkx,US,6513891
wcwidth,US,6463505
psycopg2-binary,US,6355840
build,US,6311288
matplotlib,US,6279336
pyproject-hooks,US,6250078
dnspython,US,6166852
keyring,US,6138259
joblib,US,6043159
secretstorage,US,6002368
opentelemetry-exporter-otlp-proto-grpc,US,5887431
dill,US,5879282
jaraco-classes,US,5879192
google-genai,US,5795029
